scope,obligation,exact_status,rationale
matched_forecasting,required,"195 paired units; 585 core point/1170 level cells; 18 levels reused, 1152 pending; 1920 new learned fits",panel LSTM versus XGBoost and own-model intervals
seasonal,required,135 point/270 level cells on nine applicable task/horizons; 27 unique deterministic runs with five seed aliases; RICO60 point/120 levels inapplicable,daily history unavailable inside four-hour runs
interval_methods,required,1950 level/horizon cells; shared estimator ownership; DSCP joint horizon adapter; no existing operational cell substituted,full declared method scope
operational_BDG2,required_for_full_grid_claim,three seed42 reduced-grid units complete; full264-candidate five-seed scope unexecuted,abstentions preserved; no rolling diagnostic promoted
operational_PLEIA_RICO,original_question_not_estimable_under_A,A retained as support-limited replay; proposed C conditional challenge separately evaluated,"explicit question change, not evidence of four-task deployment feasibility"
robustness_contamination_recovery,required_for_existing_claims,60 legacy units x15 cells=900 remain historical/unexecuted under current valid design; requires005crosswalk and serialized owners,"retain zero controls, calibration-only contamination, closed-loop cascades and censored recovery; no automatic launch"
inference,required,"original-unit paired metrics, five seed contributions aggregated; no IID rows/catalogues; unavailable CIs preserved",post-inspection historic-period evidence
PLEIA_energy_meter_sensitivity,required_sensitivity,keep primary meter values; separately version keep/mask stalled/zero/catch-up periods,do not silently clean
unseen_building_portability,optional_unless_claimed,separate held-building design and resources; not supported by ten recurring buildings,no current portability claim
additional_model_seeds,optional_beyond42to46,not in authorized scope,five declared model seeds remain required; no best-seed selection
